Date,Area,Type,Title,What it means,Status,Reference
2026-07-31,Data & Safety,New feature,Action log records who did what,"Every time someone opens a video or photo, or saves a tag, it is recorded with their name, the time, and whether the save actually worked. Failed saves are recorded too, which is the only way to tell that someone tried and it did not go through.",Done,cad8e59
2026-07-31,Videos,Fix,Fast tag clicking no longer loses tags,"Tapping several tag chips quickly used to keep only the last one. Each tap now adds to the previous one, so all your selections stick.",Done,f6fad63
2026-07-30,Data & Safety,Improvement,Video tags now stored one row per video,"All 428 videos' tags used to live in a single record, so every save rewrote all of them at once. Each video now has its own row, so a problem with one video can never affect the others.",Done,cbe6bdb
2026-07-30,Data & Safety,Fix,A failed save can no longer wipe everyone's work,"If the connection failed at the wrong moment, the app treated it as 'there is no data' and saved over everything. It now stops and shows an error instead. This was the cause of the video tag loss on 30 July.",Done,e9e1da6
2026-07-30,Flowers,Fix,Kits now charge for their flower components,"A kit's price did not include the flower work inside it, so the header price was lower than the breakdown shown underneath. Both now match. IMPORTANT: this increases kit prices, and saved deals will re-price when reopened.",Done,4ada935
2026-07-30,Flowers,Improvement,Recipe shows which flower price it used,"A flower with several colour variants is costed at the cheapest one. The recipe screen now says so, and hovering shows every variant's price, so an edit that does not change the cost is no longer confusing.",Done,c815630
2026-07-30,Studio,Improvement,Venue search and clearer verified mark,"Added a search box and a 'See all' to the long venue lists. The venue type 'Both' now reads 'Indoor + Outdoor'. The green verified star only shows on photos that actually have elements, and verified photos are listed first.",Done,949d646
2026-07-30,Build,New feature,Add another zone by picking its type,"The Add Zone box is now a dropdown. Pick Stage or Entry Passage and you get a second one that behaves exactly like the original, with its own photos and pricing. Names itself Stage (2), Stage (3) and so on.",Done,99bd62f
2026-07-30,Build,Improvement,Removed the duplicate button from zone rows,"The copy icon on every zone row was crowding the row and is replaced by the Add Zone dropdown.",Done,80e3713
2026-07-29,Build,Fix,A photo appears only in the zone it was tagged for,"Photos were showing up under zones they did not belong to.",Done,102739a
2026-07-29,Studio,Improvement,One light theme everywhere including Manage,"The Manage screens were still dark while the rest of Studio was light.",Done,5a566e3
2026-07-29,Build,Improvement,Upload review screen has the full tag set,"When reviewing an uploaded photo you can now set every tag, not just some of them.",Done,0fde53a
2026-07-29,Build,Fix,Truss and platform cards plus cost workings,"Related truss and platform cards now sit together, the cost workings are shown, and carpet no longer appears on the wrong list.",Done,82c3c56
2026-07-29,Studio,Improvement,Choosing a venue ranks photos instead of hiding them,"Picking a venue used to hide every photo from other venues, often leaving too few to work with. It now shows that venue's photos first and keeps the rest below.",Done,ef80571
2026-07-29,Studio,Fix,Refreshing on Event Info gives a clean form,"Refreshing the page used to leave stale details in the form.",Done,1e70993
2026-07-29,Build,New feature,Extra truss structures and platforms per zone,"A zone can now have more than one truss structure and more than one platform footprint.",Done,c807d15
2026-07-29,Studio,Fix,Client saves now actually reach the database,"Some client saves were not being stored, and refreshing lost your place in the flow.",Done,aa9eca7
2026-07-28,Build,Improvement,Verified photos marked with a star,"A star is easier to see over a photo than the old tick.",Done,d1446e6
2026-07-28,Build,Fix,Three click targets fixed in the zone list,"Some parts of a zone row did not respond to clicks, or responded when they should not have.",Done,f74a438
2026-07-28,Build,Improvement,Zone toggle relabelled Details,"The label said 'Details & Pricing' but the button only shows details.",Done,1475231
2026-07-28,Build,Improvement,Venue first in the photo filters,"The filter order now matches the Browse page so the two screens feel the same.",Done,5ec9865
2026-07-28,Studio,Fix,Palette filter search and whitespace matching,"Added a ranked search to the palette filter, and stray spaces in a palette name no longer stop it matching.",Done,d755686
2026-07-28,Build,New feature,Every zone can use truss masking platform and carpet,"These options were previously limited to certain zones only.",Done,1648b16
2026-07-28,Build,Fix,Truss and platform show on every zone that has them,"Zones configured with truss or platform were not always displaying them.",Done,fccd240
2026-07-28,IMS,Improvement,Masking types are a proper managed list,"Masking types can now be maintained as a list, and the zone structure form opens on an empty zone.",Done,4f41fc1
2026-07-28,Videos,Improvement,Recently tagged videos stay at the top,"A video you just tagged no longer disappears out of the folder you are working in.",Done,fff4896
2026-07-28,Videos,Fix,Video verifications no longer revert on refresh,"When two people tagged at the same time, one person's save could erase the other's verification.",Done,ce607a4
2026-07-27,Build,Improvement,Tap a zone photo to open it full screen,"",Done,71e1214
2026-07-27,Studio,Fix,Filter panel scrolls and shows every palette,"The filter panel got its own scrollbar, and one stray row no longer hides the whole palette list.",Done,4624a34
2026-07-27,Data & Safety,Fix,Palette catalogue no longer wiped on load,"A timing problem during page load could erase the saved palette catalogue.",Done,57a2f73
2026-07-27,Summary,Improvement,Total Estimate card brought to life,"Visual polish and tightening of the estimate card.",Done,be3c356
2026-07-27,Presentation,Improvement,Gamma deck looks less plain,"The generated presentation now carries theme, style guidance and item photos.",Done,c9850fd
2026-07-27,Summary,New feature,Preview button opens the cost sheet,"",Done,1b494b3
2026-07-27,Studio,New feature,Added a Both venue type,"For venues that are part indoor and part outdoor.",Done,cb4353e
2026-07-27,Build,Fix,Photo upload can open the gallery,"On a phone, upload previously opened only the camera.",Done,44dc848
2026-07-27,Presentation,New feature,Gamma AI designs the Canva deck,"Replaces the old hand-built layout with an AI-designed one.",Done,65dde4d
2026-07-27,Videos,Fix,Only sub-venues offered as tagging chips,"Property-level names such as a whole hotel were being offered when only a specific room should be.",Done,09d17b9
2026-07-27,Browse,New feature,Video search box,"Search videos by name, venue or style.",Done,42a454d
2026-07-27,Build,Improvement,Kit cards sized to line up with plain cards,"",Done,ccd70f7
2026-07-27,Build,Improvement,Add element kept with the element list,"",Done,78a42a8
2026-07-27,Presentation,Improvement,Function divider is a full photo title card,"The blank divider slide between functions is now a proper photo page.",Done,b740e3b
2026-07-27,Build,Fix,Verified badge legible over a photo,"",Done,3a3f4e5
2026-07-27,Build,Improvement,Verified check on photo tiles,"Replaces the older Library pill.",Done,6a1ea2a
2026-07-27,Presentation,Fix,Two layout bugs making the deck look untidy,"",Done,0b3f89a
2026-07-27,Build,Improvement,Photo price badge sized to match Library,"",Done,1ade52a
2026-07-27,Build,Improvement,Correct and Add element moved to the pager row,"",Done,b26daae
2026-07-27,Build,Improvement,Photo shows its price instead of a Preview badge,"",Done,e20e9b9
2026-07-27,Presentation,New feature,Moodboard opening in the Canva deck,"The deck now opens with a palette and zone photo grid.",Done,405afa9
2026-07-27,Build,Fix,A re-tagged photo leaves the zone it no longer belongs to,"Correcting a photo's zones now removes it from the old zone immediately.",Done,7be1dea
2026-07-27,Build,Improvement,Photo moves between zones live after correction,"",Done,305e942
2026-07-27,Build,Fix,Grid returns to the top when a photo is selected,"",Done,791eb7e
2026-07-27,Build,Improvement,Clicking a photo selects it,"The Preview badge opens the full view, so a click no longer does two things at once.",Done,b75a4a7
2026-07-27,Build,Improvement,Element cards in a row are the same height,"",Done,95f7c1b
2026-07-27,Build,Fix,Selected photo followed back to page one,"",Done,77b1a05
2026-07-27,Summary,Improvement,Estimate header badge and entrance,"",Done,a7a3838
2026-07-27,Summary,Improvement,SOLD moved into the estimate panel,"The cost sheet export button was dropped and confirming a deal now shows fireworks.",Done,ae0d610
2026-07-27,Presentation,New feature,Canva integration,"Generate an editable Canva deck straight from the Cost Sheet preview.",Done,42ef694
2026-07-27,Build,Improvement,Four element cards per row six with rails folded,"",Done,5f8a527
2026-07-27,Build,Improvement,Kits start on their own row and match in height,"",Done,2468abc
2026-07-27,Build,Improvement,Plain element cards grouped before kits,"",Done,95d3cd1
2026-07-27,Build,Improvement,Kit cards get their own row,"Stops short cards sitting under a large gap.",Done,a600e7b
2026-07-26,Studio,Fix,Three errors left by a merge,"Also made the code quality check run properly again.",Done,7c40509
2026-07-26,Build,Fix,Restored the strike-through on unavailable elements,"",Done,c44980f
2026-07-26,Build,Improvement,Build page rebuilt around section cards,"Four section cards, element cards and a live estimate rail down the side.",Done,b0fe6e2
2026-07-26,Flowers,Improvement,Kit editor rows aligned into columns,"Long names wrap, and each component can carry its own size and real/artificial ratio.",Done,3eaea4e
2026-07-26,Browse,Improvement,Photo filters share one collapsible panel,"Same filter panel on Browse and Build, and the page is wider.",Done,5c02306
2026-07-26,Studio,Improvement,New navigation bar with icons,"Three-zone navbar, toast messages on top, and the page resets to the top when you change step.",Done,0d4b2d8
2026-07-26,Studio,Improvement,Event Info form tidied,"Labels are readable and Continue is disabled until the required fields are filled.",Done,32ec234
2026-07-26,Studio,Improvement,Shared icon set replaces emoji,"",Done,ed0ae85
2026-07-26,Studio,Improvement,Running change log for Studio work,"",Done,58695f5
2026-07-26,Videos,Improvement,Scoring harness and tests for the photo tagger,"Lets tagging accuracy be measured offline before changes go out.",Done,9277f07
2026-07-26,Studio,Improvement,Added automated tests,"",Done,66db0a7
2026-07-26,Videos,Improvement,Video venue can be tagged at property level,"",Done,976b4e9
2026-07-26,Videos,Fix,Video venues matched against every configured venue,"",Done,253c35f
2026-07-26,Videos,New feature,Bulk reset from Needs-review to Untagged,"Clears tags on the selected videos so they can be tagged fresh. Note this permanently removes those tags.",Done,2ca23a9
2026-07-26,Videos,New feature,Backfill video venues from the description,"Reads the venue out of each video description. Anything unmatched is filed under Other.",Done,92d332a
2026-07-26,Videos,New feature,Venue tagging added to videos,"Brings videos in line with how images are tagged.",Done,0250f4a
2026-07-26,Flowers,Improvement,Kit recipe can pin its own size and ratio,"A flower recipe attached to a kit can set its own size and real/artificial mix.",Done,53e9920
2026-07-26,Flowers,Fix,Florals rollup honours swaps and colour choices,"Deal Check's colour preferences and swaps are now reflected in the totals.",Done,9e553d3
2026-07-26,Flowers,Fix,Pot and base cost included in the Real Total,"",Done,2387c53
2026-07-26,Flowers,Improvement,Real-to-artificial mapping shown in Deal Check,"",Done,14f0741
2026-07-26,IMS,Improvement,Styled delete confirmation in Inventory,"Also fixed blank custom zone names in exports.",Done,f66e0bb
2026-07-26,Studio,Improvement,Back button steps back within Studio,"Previously it exited Studio entirely.",Done,15f019f
2026-07-26,IMS,Fix,Always use live inventory,"Stopped preferring an older cached copy.",Done,b22a5f2
2026-07-26,Build,Fix,Upload review inventory search returns results,"It was coming back empty before Deal Check had run.",Done,c14eab6
2026-07-25,IMS,New feature,Carpet gets its own master list,"Carpet was previously mixed in with Print Materials.",Done,4d783bb
2026-07-25,Build,Improvement,Removed the moot truss type toggle,"The dimensions already decide it.",Done,1562560
2026-07-25,Flowers,Fix,Deal Check sidebar total matches the Inventory tab,"",Done,165367f
2026-07-25,Flowers,Fix,Shortage pricing applied in Summary and Deal Check,"Previously only the Build screen priced a shortage this way.",Done,09b57fc
2026-07-25,Studio,Fix,No transport charge when nothing is selected,"Trucks and genset were being charged on an empty decor list.",Done,d24f5d4
2026-07-25,Build,Improvement,Unavailable elements struck through,"The availability window also preselects the current item.",Done,27bc906
2026-07-25,Browse,New feature,Fix tags button on video cards,"Lets a salesperson correct a video's tags without opening Manage.",Done,d9fff41
2026-07-25,Build,Improvement,Quick All button next to the build filter,"",Done,f70a9f5
2026-07-25,Build,Improvement,Removed the Event Palette strip,"",Done,01c0735
2026-07-25,Build,Improvement,One photo strip per zone,"Replaces the separate Silver and Gold tabs.",Done,847e482
2026-07-25,Videos,Improvement,AI tagging uses taxonomy only for the backlog,"",Done,383cd4b
2026-07-25,Build,Improvement,Build filter seeded from the chosen video,"",Done,97d7a53
2026-07-25,Summary,Fix,Per-zone accordion no longer drops elements,"Inventory-priced elements were silently missing from the breakdown.",Done,9b0dc76
2026-07-25,Studio,Fix,Manage no longer crashes,"",Done,2ac9924
2026-07-25,Build,Fix,Custom Production and Buying items follow their zone,"They are only counted while their zone is switched on.",Done,cc93306
2026-07-25,Build,Fix,Transport truck count includes structural items,"They were being silently dropped from the count.",Done,0c92bbf
2026-07-25,Studio,Fix,Pricing no longer diverges between screens,"Stale zone data could override the live zones and give a different price.",Done,549d056
,Data & Safety,Action needed,Rotate the Supabase service key,"A full-access database key was shared in a chat and should be replaced. Note that rotating it also replaces the key the app itself uses, so the app settings must be updated and redeployed at the same time.",Pending,
,Data & Safety,Action needed,Tell sales that kit prices went up,"Kits containing flower work now cost roughly double. Saved deals re-price when reopened, so a client could see a different number than last time.",Pending,
,Flowers,Issue,Kit flowers are charged but not ordered,"The flowers inside a kit are now billed to the client, but they do not appear in the flower ordering list, so they may not be bought.",Pending,
,Data & Safety,Issue,Video list and hidden list still saved as one record,"Two remaining lists are still stored the old way, where one bad save can affect every entry. Same pattern as the video tag problem.",Pending,
,Videos,Issue,100 hidden videos are visible again,"The database restore undid the hiding of 100 old 2017 to 2021 videos. They now appear in the Untagged and Needs-review counts. Re-hiding is manual.",Pending,
,Data & Safety,Issue,Anyone with the site link can change the database,"The key the website uses is visible in the browser and allows reading and deleting data. Worth reviewing.",Pending,
,Data & Safety,Improvement,Move remaining lists into proper tables,"Six more lists to move, then three pricing lists which are higher risk and should wait.",Pending,
,Videos,Improvement,Log photo tag saves,"Photo opens are logged, photo tag saves are not yet.",Pending,
